UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0692459Y,E.N.S.S.I.B DE LYON,4012 *,,46-1,PR,Non,22,,,01/10/2020,25/02/2020,26/03/2020,"PRU en Histoire contemporaine - Histoire des politiques culturelles et patrimoines (18e-21e siècles), il ou elle intègrera prioritairement l'équipe d'accueil «Centre Gabriel Naudé».",Villeurbanne,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4567 *,1777,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire de l¿Europe centrale, XIXe-XXIe-siècles",Centre Pantheon,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4568 *,1548,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire économique et sociale (XX-XXIe siècles),Centre Pantheon,
0753455Y,ECOLE NORMALE SUPERIEURE DE PARIS,4214 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Spécialiste d histoire moderne de l Europe et d histoire transnationale (XVIe-XVIIIe), il soutiendra les missions du département ...",Paris,
0755976N,UNIVERSITE DE PARIS,40 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"HISTOIRE CONTEMPORAINE, VILLES ET PATRIMOINES (XIXE-XXIE)",FACULTE SOCIETES ET HUMANITES,
0761904G,UNIVERSITE DE ROUEN,4490 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Enseignement et recherche: Histoire contemporaine; Histoire du XIXe siècle jusqu'en 1914; Histoire sociale; Patrimoine.,MONT SAINT AIGNAN,
0931827F,UNIVERSITE PARIS 8,4504 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire moderne XVI-XVIIIe siècles,2 rue de la Liberte - SAINT DENIS,
0942353X,ESPE ACADEMIE CRETEIL,4768 *,0388,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Enseignement de l¿histoire et des civilisations,Sites de l'INSPE,
0341089Z,UNIVERSITE MONTPELLIER 3 (PAUL VALERY),4285 *,008,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,Géomorphologie appliquée et littoraux,Montpellier,
0383546Y,UNIVERSITE GRENOBLE ALPES,16 *,,46-1,PR,Non,23,24,,01/09/2020,25/02/2020,26/03/2020,Environnement et aménagement,Grenoble,S
0440984F,UNIVERSITE DE NANTES,4580 *,0992,46-1,PR,Non,23,24,,01/09/2020,25/02/2020,26/03/2020,"géographie humaine et aménagement , géographie du littoral analyse spatiale",Nantes,
0542493S,UNIVERSITE DE LORRAINE,1289 *,23PR0516,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,"Géographie physique, Hydrologie, climatologie",METZ,
0542493S,UNIVERSITE DE LORRAINE,1297 *,23PR0455,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,Géographie de l'environnement et des ressources,NANCY,
0632035V,UNIVERSITE CLERMONT AUVERGNE,226 *,,46-3,PR,Non,23,24,,01/09/2020,25/02/2020,26/03/2020,Géographie humaine et développement des territoires.,Clermont-Ferrand,
0694123G,ECOLE NORMALE SUPERIEURE DE LYON,4200 *,PR0123,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,Géographie de l'environnement,"15 parvis Rene Descartes, Lyon",
0720916E,UNIVERSITE DU MANS,4276 *,LET2324PR0589,46-1,PR,Non,23,24,,01/09/2020,25/02/2020,26/03/2020,Transition socio-écologique des espaces urbains et commerciaux,LE MANS,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4563 *,1595,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,Géographie humaine et méthodes quantitatives.,Centre Pantheon,
0840685N,UNIVERSITE D'AVIGNON,4147 *,PR23,46-1,PR,Non,23,,,01/09/2020,25/02/2020,26/03/2020,"Environnement, Médiations numériques, Analyse spatiale",Campus Hannah Arendt  Centre-ville,
