"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";3
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10
"0101060Y";"Instituts et écoles extérieurs aux universités";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0130221V";"Institut d'étude politique";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";4
"0130221V";"Institut d'étude politique";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";7
"0130221V";"Institut d'étude politique";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0130221V";"Institut d'étude politique";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0130221V";"Institut d'étude politique";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";2
"0130221V";"Institut d'étude politique";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";1
"0130221V";"Institut d'étude politique";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";5
"0130221V";"Institut d'étude politique";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";4
"0130221V";"Institut d'étude politique";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0130221V";"Institut d'étude politique";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0130221V";"Institut d'étude politique";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";1
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";2
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";3
